year,i305,i310,i324
2005,34.52752036164007,62.190229417284435,258.3818189379673
2006,34.797131761091315,62.87136490121138,261.95722311660876
2007,35.05472813992895,63.070280105144384,261.4363449061558
2008,35.2594211376836,62.93084558577529,259.55345080212237
2009,35.53646301598461,63.56689445812912,262.3024526202849
2010,35.665384923134,64.53065768238659,270.1761722463998
2011,36.236672597475696,64.07641875220044,261.78144249692326
2012,37.08160516251968,66.30188227458324,273.68501464565225
2013,35.095203617114514,63.458427614348686,264.3764805804265
2014,35.43517346988124,64.09585609425474,267.8301837843499
2015,36.27747931538091,65.30561055141827,270.73709535013563
